FetchDate,Company,Status,Category,Accession,Filed,Document,Description,Class/Type,Security Level,Period,Operating Revenue,Operating Expenses,Depreciation,Amortization,Grand Total,Download File Location
07/26/2022,Mid-America Pipeline,complete,Submittal,20220414-8082,04/14/2022,04/14/2022,"Mid-America Pipeline Company, LLC submits FERC Form 6 report for 2021/Q4",Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"528,356,962","249,013,494","41,401,417",,"254,997,066",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/mid_america_pipeline_form6
07/26/2022,Mid Valley Pipeline,complete,Submittal,20220414-8013,04/14/2022,04/14/2022,Mid Valley Pipeline Company LLC submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"70,138,510","40,341,295","2,673,057",,"99,387,227",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/mid_valley_pipeline_form6
07/26/2022,Milne Point Pipeline,complete,Submittal,20220404-8002,04/04/2022,04/04/2022,"Milne Point Pipeline, LLC submits FERC Form 6 report for 2021/Q4",Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"12,390,364","11,800,555","729,524",,"13,042,488",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/milne_point_pipeline_form6
07/26/2022,Minnesota Pipe Line,complete,Submittal,20220414-8006,04/14/2022,04/14/2022,"Minnesota Pipe Line Company, LLC submits FERC Form 6 report for 2021/Q4",Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"147,195,872","91,777,994","19,473,270",0,"153,531,774",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/minnesota_pipe_line_form6
07/26/2022,Mobil Alaska Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Mobil Eugene Island Pipeline,complete,Submittal,20220415-8075,04/15/2022,04/15/2022,Mobil Eugene Island Pipeline Company submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"17,589,546","2,280,203",,,"6,405,606",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/mobil_eugene_island_pipeline_form6
07/26/2022,Mobil Pipe Line,complete,Submittal,20220418-8104,04/18/2022,04/18/2022,Mobil Pipe Line Company submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"46,633,773","11,843,361","1,609,546",,"111,259,534",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/mobil_pipe_line_form6
07/26/2022,Mustang Pipe Line,complete,Submittal,20220415-8085,04/15/2022,04/15/2022,Mustang Pipe Line LLC submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"58,430,134","15,687,973","2,380,449",,"1,122,993",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/mustang_pipe_line_form6
07/26/2022,NW Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Navajo Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Nine Forks Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Nova Chemicals,complete,Submittal,20220408-8001,04/08/2022,04/08/2022,NOVA Chemicals Inc submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"155,336",,,,,/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/nova_chemicals_form6
07/26/2022,Ohio Oil Gathering II,nodata - name not on description,,,,,,,,,,,,,,
